iter	RMSE
0	0.2634234867
1	0.2590089302
2	0.2548415453
3	0.2510963232
4	0.247861239
5	0.2448746897
6	0.2421770096
7	0.2397463969
8	0.237663552
9	0.2356652633
10	0.2337895977
11	0.2322751391
12	0.2307713332
13	0.2293857098
14	0.2279931077
15	0.2269820567
16	0.2259479479
17	0.2250146128
18	0.2240552724
19	0.2231846343
20	0.2224860678
21	0.221814631
22	0.2212358583
23	0.2206074058
24	0.219963925
25	0.2194333287
26	0.2189362264
27	0.2183954041
28	0.2178946156
29	0.2175115092
30	0.2170481311
31	0.216717963
32	0.2163718309
33	0.2158482313
34	0.2154531693
35	0.2149379954
36	0.2145599683
37	0.2141499605
38	0.2137353415
39	0.2134600895
40	0.2129015583
41	0.2126209828
42	0.2123788475
43	0.2119840933
44	0.2117146929
45	0.2114651057
46	0.211172396
47	0.21083294
48	0.210528547
49	0.2101432831
50	0.2099578669
51	0.2095996611
52	0.2093263293
53	0.2090532033
54	0.2088353927
55	0.208643105
56	0.2083383252
57	0.208121617
58	0.207970303
59	0.2077212488
60	0.2075657197
61	0.2071876448
62	0.2067849726
63	0.2064789733
64	0.2062514808
65	0.2060759381
66	0.2059048662
67	0.2056718508
68	0.2054199592
69	0.2052988462
70	0.2051590353
71	0.2050016589
72	0.2048019996
73	0.2046025589
74	0.2044634563
75	0.2043285916
76	0.2041958054
77	0.2040855821
78	0.203983798
79	0.2038461872
80	0.2037010946
81	0.2035699651
82	0.2034531378
83	0.2033638908
84	0.2032026095
85	0.2030452068
86	0.2029010643
87	0.202809329
88	0.2026226599
89	0.2025135931
90	0.2023801303
91	0.2022724478
92	0.2021549364
93	0.2018786626
94	0.2017033727
95	0.2015535994
96	0.2014309616
97	0.2013257537
98	0.201235208
99	0.2010702086
100	0.2009323398
101	0.2008301369
102	0.2007771832
103	0.2006877413
104	0.2005918924
105	0.200387841
106	0.2002395233
107	0.2000972326
108	0.199982949
109	0.1999012544
110	0.1998259934
111	0.1996902837
112	0.1994672845
113	0.1993756006
114	0.1992971046
115	0.1992263567
116	0.1991637379
117	0.1990274589
118	0.1989221925
119	0.1988551459
120	0.1987634824
121	0.1986775382
122	0.1985875672
123	0.1985364086
124	0.1983931983
125	0.198247179
126	0.198116624
127	0.1980331872
128	0.1979651617
129	0.1978535775
130	0.1977730984
131	0.1976811905
132	0.1975941686
133	0.1974097721
134	0.1972680171
135	0.1971680069
136	0.1970535853
137	0.1969857479
138	0.1968110014
139	0.196703224
140	0.1965570514
141	0.1964731675
142	0.1963451952
143	0.1962707709
144	0.1962060859
145	0.1961534788
146	0.1960757701
147	0.1960099004
148	0.1958914028
149	0.1957766258
150	0.1956631188
151	0.1955110768
152	0.1954263741
153	0.1953654361
154	0.1952501276
155	0.1951624829
156	0.1950516849
157	0.1949939349
158	0.1949069532
159	0.1948379884
160	0.1947736316
161	0.1946803871
162	0.1945829708
163	0.1945033689
164	0.1943732023
165	0.1943176647
166	0.1942498893
167	0.1941517104
168	0.1940542748
169	0.1939942874
170	0.1939132746
171	0.1938290477
172	0.1937594087
173	0.1936766946
174	0.1935088958
175	0.1934127583
176	0.1933007888
177	0.1932352049
178	0.1931922663
179	0.1931436991
180	0.1930852776
181	0.1930206712
182	0.1929335319
183	0.1928486064
184	0.1927641428
185	0.1926637739
186	0.1926050314
187	0.1925381009
188	0.19246592
189	0.1924097492
190	0.1923374383
191	0.1922797648
192	0.1922308292
193	0.192147378
194	0.1920857218
195	0.1920423686
196	0.1919754721
197	0.1918680409
198	0.1917188606
199	0.1916439059
200	0.191596469
201	0.1915213913
202	0.1914389938
203	0.1913600694
204	0.1913234148
205	0.191259569
206	0.1912318357
207	0.1911507943
208	0.191081449
209	0.191037517
210	0.1909862416
211	0.1909092909
212	0.1908435386
213	0.1907593263
214	0.1907269807
215	0.1906388703
216	0.1905899658
217	0.190532748
218	0.1904868883
219	0.1904375532
220	0.1903861543
221	0.1903250446
222	0.1902700528
223	0.1902008334
224	0.1901056953
225	0.1899920281
226	0.1899154716
227	0.1898226455
228	0.1897895575
229	0.189742798
230	0.1896673853
231	0.1896193642
232	0.1895404308
233	0.1894916143
234	0.1894025563
235	0.1893314719
236	0.189257006
237	0.1892158756
238	0.1891699087
239	0.1891204913
240	0.1890522225
241	0.1889918312
242	0.1889394305
243	0.1889024269
244	0.1888128742
245	0.1887672193
246	0.1887288829
247	0.1886656882
248	0.1886047204
249	0.1885700415
250	0.1885305369
251	0.1884934356
252	0.1884270977
253	0.1883857892
254	0.1883025214
255	0.1882674628
256	0.1882359328
257	0.1882160266
258	0.1881695454
259	0.1881017162
260	0.1880545538
261	0.1880135833
262	0.1879578616
263	0.1878867327
264	0.1878204207
265	0.1877550795
266	0.1877118951
267	0.187678527
268	0.1876357249
269	0.1875369295
270	0.1874870549
271	0.1874163234
272	0.1873708364
273	0.1873092888
274	0.1872686925
275	0.1872345434
276	0.187187143
277	0.1871462626
278	0.1871177548
279	0.1870951062
280	0.1870346868
281	0.1869749183
282	0.1869161206
283	0.1868565768
284	0.1868269686
285	0.186794705
286	0.1867396064
287	0.1866798273
288	0.1866429488
289	0.18661534
290	0.1866114398
291	0.1865374033
292	0.1864793315
293	0.1864515342
294	0.1863980595
295	0.1863503
296	0.186346694
297	0.1863139083
298	0.1863102872
299	0.1862545682
300	0.186185553
301	0.186140031
302	0.1860890893
303	0.1860215576
304	0.1859889321
305	0.1859336043
306	0.1858086627
307	0.1857591561
308	0.1856974978
309	0.1856339925
310	0.1855816458
311	0.1855198599
312	0.1854814401
313	0.1854489655
314	0.1854028344
315	0.1853158164
316	0.1852923211
317	0.1852440047
318	0.1851928724
319	0.1851626234
320	0.1851191731
321	0.1851068176
322	0.1850491737
323	0.1850389607
324	0.1849958686
325	0.1849095751
326	0.1848829753
327	0.1848402225
328	0.1848369916
329	0.184787755
330	0.18470059
331	0.1846617662
332	0.1846336294
333	0.1845297135
334	0.1844860462
335	0.1844551393
336	0.1844517576
337	0.184412895
338	0.1843831275
339	0.1843398773
340	0.1843369819
341	0.1842780619
342	0.1842303792
343	0.1841910454
344	0.1841440837
345	0.1841009453
346	0.1840462735
347	0.1839833097
348	0.1839409949
349	0.1839191175
350	0.1839049419
351	0.1838802889
352	0.1838784067
353	0.183832793
354	0.1837786371
355	0.183736324
356	0.1836650497
357	0.1836317412
358	0.1835884919
359	0.1835643418
360	0.1835320395
361	0.1835303577
362	0.1834841941
363	0.1834418245
364	0.1833892059
365	0.1833615764
366	0.1833218056
367	0.1832720417
368	0.1832231321
369	0.1831810762
370	0.1831561114
371	0.1831244705
372	0.1830977306
373	0.1830839967
374	0.1830491548
375	0.1830004079
376	0.1829545963
377	0.1828775926
378	0.1828556465
379	0.1828162221
380	0.1828146514
381	0.1827759927
382	0.1827588261
383	0.1827160526
384	0.1826821445
385	0.18263161
386	0.1826301165
387	0.1826156074
388	0.1825763391
389	0.1825745597
390	0.1825514961
391	0.1825056389
392	0.1824710386
393	0.1824159318
394	0.1823543946
395	0.1823341711
396	0.1823096791
397	0.1822693261
398	0.182228228
399	0.1821503515
400	0.1821192581
401	0.1820789814
402	0.1820529567
403	0.1819933283
404	0.1819700987
405	0.1819687093
406	0.1819400401
407	0.1818885391
408	0.1818200993
409	0.1817996035
410	0.1817609327
411	0.1817334124
412	0.1817320907
413	0.1817018917
414	0.1816786958
415	0.1816110652
416	0.1816095555
417	0.1815705094
418	0.1815692597
419	0.1815408598
420	0.1815064132
421	0.1814815948
422	0.1814601392
423	0.1814474969
424	0.1814133982
425	0.1813895279
426	0.1813660265
427	0.1813639705
428	0.1813438738
429	0.1813428408
430	0.181310847
431	0.1813098595
432	0.1812846532
433	0.1812280217
434	0.1812129116
435	0.1811673102
436	0.1811453745
437	0.1811135226
438	0.1810896014
439	0.1810884073
440	0.1810417693
441	0.1809954396
442	0.1809942704
443	0.1809928644
444	0.1809371755
445	0.1809042121
446	0.1808670062
447	0.1808157987
448	0.180771492
449	0.1806850731
450	0.1806272887
451	0.1805914076
452	0.1805451311
453	0.1805443147
454	0.1805115023
455	0.1804700397
456	0.1804269874
457	0.1804001332
458	0.1803992266
459	0.1803442091
460	0.1803222402
461	0.1802879037
462	0.1802448385
463	0.1802150999
464	0.1801634019
465	0.180129568
466	0.1801182688
467	0.1801028885
468	0.1800765764
469	0.1800477529
470	0.1800184597
471	0.1799973118
472	0.1799621222
473	0.1799409468
474	0.1799065094
475	0.1799057354
476	0.1798638523
477	0.1798631069
478	0.1798235572
479	0.1797788476
480	0.1797476212
481	0.1797052464
482	0.1797042835
483	0.1796805097
484	0.1796523028
485	0.1796514847
486	0.1796339174
487	0.179572094
488	0.1795399113
489	0.1795139661
490	0.1795131977
491	0.179467354
492	0.1794425889
493	0.1794243532
494	0.1793879104
495	0.1793742634
496	0.1793735247
497	0.1793294499
498	0.1792988165
499	0.1792794506
500	0.1792607853
501	0.1792351061
502	0.1792343565
503	0.1792107154
504	0.1791540336
505	0.1791391174
506	0.1791149759
507	0.1790242684
508	0.1789994323
509	0.1789520713
510	0.178951355
511	0.1789254786
512	0.1789079474
513	0.1789066614
514	0.1788718014
515	0.1788480014
516	0.1788146648
517	0.1788050506
518	0.1787708732
519	0.1787583374
520	0.1786997297
521	0.1786433562
522	0.1786064922
523	0.1786058186
524	0.1785791591
525	0.1785709396
526	0.1785446746
527	0.1784986514
528	0.1784709097
529	0.1784345661
530	0.1784069121
531	0.1783899536
532	0.1783892386
533	0.1783637087
534	0.1783391587
535	0.1782854801
536	0.1782640848
537	0.1782634617
538	0.1782438174
539	0.1782015146
540	0.1781774154
541	0.1781446895
542	0.1781215279
543	0.1780835286
544	0.1780585995
545	0.1780240341
546	0.17801474
547	0.1779914934
548	0.1779573306
549	0.1779538618
550	0.177877334
551	0.177856411
552	0.1778448052
553	0.1778076171
554	0.1777898257
555	0.1777312639
556	0.1776956388
557	0.1776829875
558	0.1776636853
559	0.1776631751
560	0.1776447583
561	0.1776217893
562	0.1775902467
563	0.177541386
564	0.1775092898
565	0.1774558028
566	0.1774411192
567	0.1774232081
568	0.177419433
569	0.1774188005
570	0.1774182968
571	0.1773946084
572	0.1773639805
573	0.1773634613
574	0.1773447637
575	0.1773307108
576	0.177326116
577	0.1773068398
578	0.1772528214
579	0.1772523526
580	0.1772287472
581	0.1772022279
582	0.1771858821
583	0.1771785932
584	0.1771192501
585	0.1770934714
586	0.1770682334
587	0.1770615311
588	0.1770544556
589	0.1770327077
590	0.1770145247
591	0.1769831363
592	0.1769577562
593	0.1769413763
594	0.1769018363
595	0.1768704412
596	0.1768673432
597	0.1768276214
598	0.1767957443
599	0.1767908553
600	0.1767607019
601	0.1767140201
602	0.1766984111
603	0.1766702174
604	0.1766696991
605	0.1766365756
606	0.1766199797
607	0.1765939469
608	0.1765585057
609	0.1765434324
610	0.1765135882
611	0.1764793312
612	0.1764451173
613	0.1763885161
614	0.1763708117
615	0.1763412038
616	0.1763224055
617	0.1762981191
618	0.1762646653
619	0.17624266
620	0.1762360345
621	0.1762356091
622	0.1762277436
623	0.1762078628
624	0.1761800819
625	0.1761335283
626	0.1761120928
627	0.1760824412
628	0.1760663553
629	0.1760452843
630	0.1759990358
631	0.1759711828
632	0.1759541292
633	0.1759396446
634	0.1759077843
635	0.175897209
636	0.175882772
637	0.1758672437
638	0.1758534598
639	0.1758209083
640	0.175789087
641	0.1757521414
642	0.1757384841
643	0.1757379685
644	0.1756873357
645	0.1756721141
646	0.1756332392
647	0.1755965469
648	0.1755961596
649	0.1755809393
650	0.1755487361
651	0.1755259539
652	0.1755158232
653	0.1754969958
654	0.1754961157
655	0.1754748937
656	0.1754552159
657	0.1754426031
658	0.1754421705
659	0.1754074128
660	0.1753923667
661	0.1753727969
662	0.1753321731
663	0.1753104096
664	0.1752791432
665	0.1752542089
666	0.1752357566
667	0.1752014542
668	0.1751925039
669	0.1751859332
670	0.1751683884
671	0.1751386721
672	0.1751383286
673	0.1751069756
674	0.1750822922
675	0.1750602685
676	0.1750300338
677	0.1750051932
678	0.1749796264
679	0.1749538983
680	0.1749374849
681	0.1749095978
682	0.1748824191
683	0.1748634867
684	0.1748123322
685	0.1748035442
686	0.1747801489
687	0.1747543105
688	0.1747419559
689	0.174713844
690	0.1746987009
691	0.1746794729
692	0.1746494804
693	0.174649068
694	0.1746300057
695	0.1745959213
696	0.174579574
697	0.1745655134
698	0.174523667
699	0.1745174883
700	0.1744864521
701	0.1744780274
702	0.1744527311
703	0.1744445662
704	0.1744261136
705	0.1743905195
706	0.1743710659
707	0.1743290689
708	0.1743098755
709	0.1743082446
710	0.1742631891
711	0.1742628386
712	0.174231364
713	0.1742061057
714	0.1741831993
715	0.1741658891
716	0.1741455293
717	0.1741277314
718	0.1741273933
719	0.1741076266
720	0.1741072181
721	0.174094192
722	0.1740751125
723	0.1740515665
724	0.1740270539
725	0.1740107157
726	0.1739839077
727	0.1739715278
728	0.1739469512
729	0.1739462368
730	0.1739458629
731	0.1738801907
732	0.1738599524
733	0.1738476325
734	0.1738120928
735	0.1737686988
736	0.1737558533
737	0.1737235083
738	0.1737003874
739	0.1736895217
740	0.1736891763
741	0.1736885619
742	0.173664121
743	0.1736638323
744	0.1736561399
745	0.1736549569
746	0.1736399247
747	0.1735742426
748	0.1735540629
749	0.1735395771
750	0.1735119758
751	0.1734909961
752	0.1734558166
753	0.1734368867
754	0.1734170381
755	0.1734013838
756	0.173360904
757	0.1733366884
758	0.1733091999
759	0.1732840231
760	0.1732476499
761	0.1732084046
762	0.1731361966
763	0.1731287155
764	0.173116721
765	0.1730981982
766	0.1730749446
767	0.1730385951
768	0.1730093526
769	0.1729714547
770	0.1729551988
771	0.172932929
772	0.172899506
773	0.172882777
774	0.1728605315
775	0.1728363848
776	0.1728299394
777	0.1728123602
778	0.1727943611
779	0.1727746949
780	0.1727497241
781	0.17272844
782	0.1726971578
783	0.1726968538
784	0.1726871864
785	0.1726652448
786	0.1726326266
787	0.1726002469
788	0.1725741038
789	0.1725738118
790	0.1725598969
791	0.1725355544
792	0.1725228888
793	0.1724877694
794	0.1724753056
795	0.1724556238
796	0.1724396753
797	0.1724333732
798	0.1724234783
799	0.1724026449
800	0.1723663938
801	0.1723410503
802	0.1723343953
803	0.172334141
804	0.1723170459
805	0.1723095677
806	0.1723093265
807	0.1722920464
808	0.1722683198
809	0.1722631776
810	0.1722325005
811	0.1722186266
812	0.1721928378
813	0.1721683438
814	0.1721527045
815	0.1721148814
816	0.1720970041
817	0.1720564778
818	0.172030442
819	0.1720058841
820	0.1719875057
821	0.1719587829
822	0.1719530951
823	0.1719304107
824	0.1719227023
825	0.1719119708
826	0.1719117513
827	0.1719114861
828	0.1719081677
829	0.1718499526
830	0.1718273355
831	0.1718150507
832	0.17178714
833	0.1717635738
834	0.1717429272
835	0.1717356151
836	0.1717109932
837	0.1716964916
838	0.1716812448
839	0.1716634339
840	0.1716462201
841	0.1716219485
842	0.1716216905
843	0.1716069423
844	0.1715935244
845	0.1715749962
846	0.1715231205
847	0.1714918953
848	0.1714642649
849	0.1714469348
850	0.1714163939
851	0.1713875092
852	0.1713738569
853	0.1713567587
854	0.1713306134
855	0.1712922919
856	0.1712481531
857	0.1712479044
858	0.1712395083
859	0.1712200098
860	0.1711983274
861	0.1711492782
862	0.1711186972
863	0.1710978645
864	0.1710862186
865	0.1710591877
866	0.171050928
867	0.1710315629
868	0.1709774293
869	0.1709679857
870	0.1709617889
871	0.170946675
872	0.1709423679
873	0.1709149842
874	0.1708891859
875	0.1708702601
876	0.1708686713
877	0.1708547511
878	0.1708522294
879	0.1708243844
880	0.1708241486
881	0.1708077006
882	0.1707887609
883	0.1707626939
884	0.1707340473
885	0.1707261117
886	0.1706955714
887	0.1706594399
888	0.1706355076
889	0.1706262182
890	0.1706055336
891	0.1706021824
892	0.1705771624
893	0.1705675269
894	0.1705229923
895	0.1705019205
896	0.1704960845
897	0.1704958542
898	0.1704776359
899	0.1704572526
900	0.1704437275
901	0.1704369424
902	0.1704300485
903	0.1704186495
904	0.1704036974
905	0.1703694649
906	0.170350287
907	0.1703492112
908	0.1703490165
909	0.1703488011
910	0.170326775
911	0.1703209298
912	0.1703164521
913	0.1702907411
914	0.1702773496
915	0.1702771414
916	0.1702664637
917	0.1702662639
918	0.1702484362
919	0.1702006246
920	0.1701972289
921	0.1701867372
922	0.1701727451
923	0.1701647504
924	0.1701280285
925	0.1701278684
926	0.1701209431
927	0.1700987828
928	0.1700859734
929	0.1700372243
930	0.1700370605
931	0.1700129718
932	0.1699845324
933	0.1699736959
934	0.169949962
935	0.1699318422
936	0.1699195352
937	0.1699084946
938	0.1698875855
939	0.1698672619
940	0.1698537575
941	0.1698441188
942	0.1698177974
943	0.1697937625
944	0.1697846287
945	0.1697618814
946	0.1697233886
947	0.1697118965
948	0.1696980551
949	0.1696766623
950	0.1696599036
951	0.1696246761
952	0.1696051152
953	0.1695796067
954	0.1695711082
955	0.1695475779
956	0.1695205724
957	0.1695138588
958	0.1695095474
959	0.1695011632
960	0.1694922731
961	0.1694627572
962	0.1694409206
963	0.1694306945
964	0.1694290238
965	0.1694288371
966	0.1694097757
967	0.1694095961
968	0.169392186
969	0.1693920379
970	0.1693566593
971	0.1693359393
972	0.1693306798
973	0.169293214
974	0.1692853112
975	0.169272108
976	0.1692545317
977	0.1692397178
978	0.1692226123
979	0.1692130784
980	0.1692072193
981	0.1692070823
982	0.1691923191
983	0.1691749851
984	0.1691625778
985	0.1691606444
986	0.1691394349
987	0.16910757
988	0.1690839512
989	0.1690631754
990	0.1690523484
991	0.1690354267
992	0.1690352727
993	0.1690285961
994	0.1690265406
995	0.1690213779
996	0.1690096687
997	0.1690002347
998	0.1689883423
999	0.1689513318
